"","hair","feathers","eggs","milk","airborne","aquatic","predator","toothed","backbone","breathes","venomous","fins","legs","tail","domestic","catsize","cluster"
"1",1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,4
"2",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,4
"3",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,5
"4",1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,4
"5",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4
"6",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,4
"7",1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,4
"8",0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,5
"9",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,5
"10",1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,4
"11",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4
"12",0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1
"13",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,5
"14",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5
"15",0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
"16",0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,2
"17",0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,1
"18",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,4
"19",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,5
"20",0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,5
"21",0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1
"22",0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,1
"23",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,4
"24",0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,1
"25",0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,2
"26",0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,7
"27",0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,7
"28",1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,3
"29",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,4
"30",1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,3
"31",0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2
"32",1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,4
"33",1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,3
"34",0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,1
"35",0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,5
"36",1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,4
"37",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,4
"38",0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,1
"39",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,5
"40",1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,2
"41",1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2
"42",0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,1
"43",0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,2
"44",0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1
"45",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4
"46",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4
"47",0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,2
"48",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4
"49",1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,4
"50",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,4
"51",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4
"52",1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2
"53",0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,7
"54",0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,6
"55",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,4
"56",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,4
"57",0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,1
"58",0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1
"59",0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,1
"60",0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1
"61",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,5
"62",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,5
"63",0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,5
"64",1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,4
"65",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4
"66",1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,4
"67",0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,5
"68",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4
