Cement,Blast Furnace Slag ,Fly Ash ,Water ,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Concrete compressive strength
332.5,46.5,96.7,189.3,4.5,967.1,870.3,3,11.58
332.5,108.9,96.7,189.3,4.5,967.1,870.3,14,24.45
198.6,101.5,96.7,189.3,4.5,967.1,870.3,28,24.89
266,99.9,96.7,189.3,4.5,967.1,870.3,56,29.45
380,55.9,163.8,121.8,5.7,1058.7,780.1,3,7.75
380,78.2,163.8,121.8,5.7,1058.7,780.1,14,17.82
266,62,163.8,121.8,5.7,1058.7,780.1,28,24.24
475,92.3,163.8,121.8,5.7,1058.7,780.1,56,32.85
198.6,117.6,163.8,121.8,5.7,1058.7,780.1,100,39.23
198.6,58.9,24.5,181.7,6.9,1065.8,785.4,3,18
427.5,120.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
653.5,164.6,24.5,181.7,6.9,1065.8,785.4,28,45.71
572.2,104.2,24.5,181.7,6.9,1065.8,785.4,56,50.77
656.2,164.7,24.5,181.7,6.9,1065.8,785.4,100,53.9
2.5,85.5,24.5,181.7,6.7,1066,785.5,3,13.18
121.1,42.3,24.5,181.7,6.7,1066,785.5,14,17.84
386.7,145.7,24.5,181.7,6.7,1066,785.5,28,40.23
412.8,86.5,24.5,181.7,6.7,1066,785.5,56,47.13
561.3,94.1,24.5,181.7,6.7,1066,785.5,100,49.97
266.4,98.6,24.5,160.7,11.2,1061.7,782.5,3,30.45
544,112.3,24.5,160.7,11.2,1061.7,782.5,14,47.71
755.4,194.3,24.5,160.7,11.2,1061.7,782.5,28,63.14
778.4,176.1,24.5,160.7,11.2,1061.7,782.5,56,66.82
725.3,199.7,24.5,160.7,11.2,1061.7,782.5,100,66.95
293.4,136.9,123.8,140.8,11.9,1075.7,792.7,3,27.42
506.2,141.7,123.8,140.8,11.9,1075.7,792.7,14,35.96
664.5,158.7,123.8,140.8,11.9,1075.7,792.7,28,55.51
643.7,119.4,123.8,140.8,11.9,1075.7,792.7,56,61.99
664.8,131.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
260.5,65,121.9,155.6,9.6,1014.3,780.6,3,18.02
282.2,98.9,121.9,155.6,9.6,1014.3,780.6,14,38.6
687.7,157.7,121.9,155.6,9.6,1014.3,780.6,28,52.2
657,139.7,121.9,155.6,9.6,1014.3,780.6,56,53.96
597.7,148.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
1092.5,140.4,0,145,5.9,1130,745,28,81.75
443.5,132.6,0,200,3,1124.4,613.2,28,39.38
707.5,133.9,158,167,20.8,967,633,28,55.65
442.2,135.1,163,167,17.9,996,652,28,47.28
456.5,133,158,189,15.3,967,633,28,44.33
702,153.9,0,190,0,1145,660,28,49.25
